"author","normalized_author","deterministic_author","fuzzy_author","fuzzy_author_score","distilbert_author","distilbert_author_score"
"Ammianus Marcellinus.","ammianus marcellinus","","","0.0","ammianus marcellinus","0.9999758005142212"
"Sepp, Bernhard.","sepp bernhard","","","0.0","sepp, bernhard, 1853-1920","0.9996901750564576"
"Apuleius.","apuleius","","","0.0","apuleius","0.9999918937683104"
"Apuleius","apuleius","","","0.0","apuleius","0.9999912977218628"
"Caesar, Julius","caesar julius","","","0.0","caesar, julius","0.9999862909317015"
"Caesar, Julius","caesar julius","","","0.0","caesar, julius","0.9999862909317015"
"Caesar, Julius.","caesar julius","","","0.0","caesar, julius","0.9999878406524658"
"Caesar, Julius","caesar julius","","","0.0","caesar, julius","0.9999862909317015"
"Caesar, Julius","caesar julius","","","0.0","caesar, julius","0.9999862909317015"
"Cortese, Giacomo, 1859-","cortese giacomo 1859","","","0.0","cortesi, paolo, 1465-1510","0.9999402761459352"
"Catullus, Gaius Valerius.","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999910593032836"
"Catullus, Gaius Valerius.","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999910593032836"
"Catullus, Gaius Valerius.","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999910593032836"
"Catullus, Gaius Valerius","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999933242797852"
"Catullus, Gaius Valerius","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999933242797852"
"Dracontius, Blossius Aemilius, active 5th century.","dracontius blossius aemilius active 5th century","","","0.0","dracontius, blossius aemilius","0.9999605417251588"
"Justinus, Marcus Junianus.","justinus marcus junianus","","","0.0","justinus, marcus junianus","0.9999898672103882"
"Lucilius.","lucilius","","","0.0","lucilius, gaius, approximately 180 b.c.-approximately 102 b.c.","0.9999322891235352"
"Martial","martial","","","0.0","martial","0.9999687671661376"
"Martial.","martial","","","0.0","martial","0.9999713897705078"
"Ovid, 43 B.C.-17 or 18 A.D.","ovid 43 bc17 or 18 ad","","","0.0","ovid, 43 b.c.-17 a.d. or 18 a.d.","0.9999898672103882"
"Ovid, 43 B.C.-17 or 18 A.D.","ovid 43 bc17 or 18 ad","","","0.0","ovid, 43 b.c.-17 a.d. or 18 a.d.","0.9999898672103882"
"Dinter, Bernhard, 1825-","dinter bernhard 1825","","","0.0","dinter, bernard","0.9999905824661256"
"Pohlenz, M. 1872-1962.","pohlenz m 18721962","","","0.0","pohlenz, m. (max), 1872-1962","0.999997615814209"
"Phaedrus.","phaedrus","","","0.0","phaedrus","0.999994158744812"
"Phaedrus","phaedrus","","","0.0","phaedrus","0.999992847442627"
"Phaedrus","phaedrus","","","0.0","phaedrus","0.999992847442627"
"Plautus, Titus Maccius","plautus titus maccius","","","0.0","plautus, titus maccius","0.999996304512024"
"Propertius, Sextus","propertius sextus","","","0.0","propertius, sextus","0.9996498823165894"
"Propertius, Sextus","propertius sextus","","","0.0","propertius, sextus","0.9996498823165894"
"Propertius, Sextus","propertius sextus","","","0.0","propertius, sextus","0.9996498823165894"
"Quintilian","quintilian","","","0.0","quintilian","0.9999840259552002"
"Quintilian.","quintilian","","","0.0","quintilian","0.9999827146530152"
"Quintilian","quintilian","","","0.0","quintilian","0.9999840259552002"
"Quintilian","quintilian","","","0.0","quintilian","0.9999840259552002"
"Quintilian.","quintilian","","","0.0","quintilian","0.9999827146530152"
"Quintilian.","quintilian","","","0.0","quintilian","0.9999827146530152"
"Quintilian.","quintilian","","","0.0","quintilian","0.9999827146530152"
"Rutilius Namatianus, Claudius, active 5th century.","rutilius namatianus claudius active 5th century","","","0.0","namatianus, claudius rutilius, active 5th century","0.9999940395355223"
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.","seneca lucius annaeus approximately 4 bc65 ad","","","0.0","seneca, lucius annaeus, approximately 4 b.c.-65 a.d.","0.9999599456787108"
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.","seneca lucius annaeus approximately 4 bc65 ad","","","0.0","seneca, lucius annaeus, approximately 4 b.c.-65 a.d.","0.9999599456787108"
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.","seneca lucius annaeus approximately 4 bc65 ad","","","0.0","seneca, lucius annaeus, approximately 4 b.c.-65 a.d.","0.9999599456787108"
