"author","normalized_author","distilbert_author","confidence"
"Suárez, Francisco, 1548-1617.","suarez francisco 15481617","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.5979602336883545"
"Unknown","unknown","{'authorized_name': 'alan, of tewkesbury', 'author_id': 'A4551'}","0.11027003079652786"
"Horatius, Romanus, fl. 1450.","horatius romanus fl 1450","{'authorized_name': 'horatius romanus', 'author_id': 'A3205'}","0.9999496936798096"
"Doni, Gio. Battista 1593 or 1594-1647","doni gio battista 1593 or 15941647","{'authorized_name': 'donizone, di canossa', 'author_id': 'A5326'}","0.9830279350280762"
"Viger, François, 1590-1647","viger francois 15901647","{'authorized_name': 'victor, vitensis', 'author_id': 'A4782'}","0.3081214725971222"
"Lucas, Karl Wilhelm.","lucas karl wilhelm","{'authorized_name': 'lucas, bishop of túy, -approximately 1249', 'author_id': 'A4371'}","0.9356204271316528"
"Portus, Aemilius, 1550-1614 or 1615","portus aemilius 15501614 or 1615","{'authorized_name': 'alanus, de insulis', 'author_id': 'A4458'}","0.23135995864868164"
"Muret, Marc-Antoine, 1526-1585","muret marcantoine 15261585","{'authorized_name': 'muret, marc-antoine, 1526-1585', 'author_id': 'A3873'}","0.9999701976776123"
"Muret, Marc-Antoine, 1526-1585","muret marcantoine 15261585","{'authorized_name': 'muret, marc-antoine, 1526-1585', 'author_id': 'A3873'}","0.9999701976776123"
"Klausen, Rudolf Heinrich, 1807-1840.","klausen rudolf heinrich 18071840","{'authorized_name': 'schöll, rudolf, 1844-1893', 'author_id': 'A5974'}","0.7980411052703857"
"Martin, Bernard, 1574-1639.","martin bernard 15741639","{'authorized_name': 'andreas, bernard, active 1500', 'author_id': 'A4126'}","0.9608023762702942"
"Wesseling, Petrus, 1692-1764","wesseling petrus 16921764","{'authorized_name': 'wessely, carl, 1860-1931', 'author_id': 'A3348'}","0.9987534284591675"
"Hanow, Rudolf, 1806-1871.","hanow rudolf 18061871","{'authorized_name': 'schottennius, hermannus', 'author_id': 'A5620'}","0.2898063659667969"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Curtius Rufus, Quintus","curtius rufus quintus","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","0.9995243549346924"
"Florus, Lucius Annaeus","florus lucius annaeus","{'authorized_name': 'florus, lucius annaeus', 'author_id': 'A5047'}","0.9999773502349854"
"Unknown","unknown","{'authorized_name': 'alan, of tewkesbury', 'author_id': 'A4551'}","0.11027003079652786"
"Burchard, Johann Friedrich Wilhelm,","burchard johann friedrich wilhelm","{'authorized_name': 'burchard, von reichenau', 'author_id': 'A4975'}","0.6860467195510864"
"Vater, Johann Severin, 1771-1826","vater johann severin 17711826","{'authorized_name': 'pufendorf, samuel, freiherr von, 1632-1694', 'author_id': 'A3714'}","0.21393349766731262"
"Henrichsen, Rudolf Johann Frederik, 1800-1871.","henrichsen rudolf johann frederik 18001871","{'authorized_name': 'schmidt, wilhelm, 1862-1905', 'author_id': 'A6277'}","0.4935770332813263"
"Lauer, Julius Franz, 1819-1850.","lauer julius franz 18191850","{'authorized_name': 'frey, joseph, 1834-1910', 'author_id': 'A6205'}","0.5303611159324646"
"Unknown","unknown","{'authorized_name': 'alan, of tewkesbury', 'author_id': 'A4551'}","0.11027003079652786"
"Groke, Th. Wilhelm.","groke th wilhelm","{'authorized_name': 'gemoll, wilhelm, 1850-1934', 'author_id': 'A5660'}","0.8454634547233582"
"Butler, Samuel, 1774-1839","butler samuel 17741839","{'authorized_name': 'cowley, abraham, 1618-1667', 'author_id': 'A4034'}","0.2432381957769394"
"Katrares, Johannes, 14th cent.","katrares johannes 14th cent","{'authorized_name': 'john, canonicus, active 14th century', 'author_id': 'A3706'}","0.11498986184597015"
"Augustine, of Hippo, Saint, 354-430.","augustine of hippo saint 354430","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","0.9999635219573975"
"Caesar, Julius","caesar julius","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","0.9999862909317017"
"Caesar, Julius","caesar julius","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","0.9999862909317017"
"Catullus, Gaius Valerius","catullus gaius valerius","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","0.9999933242797852"
"Catullus, Gaius Valerius","catullus gaius valerius","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","0.9999933242797852"
"Catullus, Gaius Valerius","catullus gaius valerius","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","0.9999933242797852"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Persyn, Janus Van.","persyn janus van","{'authorized_name': 'persius', 'author_id': 'A4892'}","0.9982895255088806"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Cicero, Marcus Tullius","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Wopkens, Thomas, 1700-1755.","wopkens thomas 17001755","{'authorized_name': 'wowern, johann van der, 1574-1612', 'author_id': 'A5942'}","0.6394531726837158"
"Curtius Rufus, Quintus","curtius rufus quintus","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","0.9995243549346924"
"Curtius Rufus, Quintus","curtius rufus quintus","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","0.9995243549346924"
"Frontinus, Sextus Julius","frontinus sextus julius","{'authorized_name': 'frontinus, sextus julius', 'author_id': 'A4597'}","0.9999566078186035"
"Gellius, Aulus","gellius aulus","{'authorized_name': 'gellius, aulus', 'author_id': 'A5356'}","0.998389482498169"
"Horace","horace","{'authorized_name': 'horace', 'author_id': 'A4876'}","0.9999886751174927"
"Horace","horace","{'authorized_name': 'horace', 'author_id': 'A4876'}","0.9999886751174927"
"Horace","horace","{'authorized_name': 'horace', 'author_id': 'A4876'}","0.9999886751174927"
"Horace","horace","{'authorized_name': 'horace', 'author_id': 'A4876'}","0.9999886751174927"
"Horace","horace","{'authorized_name': 'horace', 'author_id': 'A4876'}","0.9999886751174927"
"Horace","horace","{'authorized_name': 'horace', 'author_id': 'A4876'}","0.9999886751174927"
"Horace","horace","{'authorized_name': 'horace', 'author_id': 'A4876'}","0.9999886751174927"
"Livy","livy","{'authorized_name': 'livy', 'author_id': 'A4979'}","0.9996827840805054"
"Livy","livy","{'authorized_name': 'livy', 'author_id': 'A4979'}","0.9996827840805054"
"Livy","livy","{'authorized_name': 'livy', 'author_id': 'A4979'}","0.9996827840805054"
"Lachmann, Karl, 1793-1851","lachmann karl 17931851","{'authorized_name': 'lachmann, karl, 1793-1851', 'author_id': 'A6090'}","0.9999969005584717"
"Mela, Pomponius","mela pomponius","{'authorized_name': 'mela, pomponius', 'author_id': 'A4607'}","0.999992847442627"
"Mela, Pomponius","mela pomponius","{'authorized_name': 'mela, pomponius', 'author_id': 'A4607'}","0.999992847442627"
"Nepos, Cornelius","nepos cornelius","{'authorized_name': 'nepos, cornelius', 'author_id': 'A5005'}","0.9999562501907349"
"Ovid, 43 B.C.-17 A.D. or 18 A.D.","ovid 43 bc17 ad or 18 ad","{'authorized_name': 'ovid, 43 b.c.-17 a.d. or 18 a.d.', 'author_id': 'A5522'}","0.9999899864196777"
"Ovid, 43 B.C.-17 A.D. or 18 A.D.","ovid 43 bc17 ad or 18 ad","{'authorized_name': 'ovid, 43 b.c.-17 a.d. or 18 a.d.', 'author_id': 'A5522'}","0.9999899864196777"
"Ovid, 43 B.C.-17 A.D. or 18 A.D.","ovid 43 bc17 ad or 18 ad","{'authorized_name': 'ovid, 43 b.c.-17 a.d. or 18 a.d.', 'author_id': 'A5522'}","0.9999899864196777"
"Persius","persius","{'authorized_name': 'persius', 'author_id': 'A4892'}","0.9999909400939941"
"Phaedrus","phaedrus","{'authorized_name': 'phaedrus', 'author_id': 'A4554'}","0.999992847442627"
"Phaedrus","phaedrus","{'authorized_name': 'phaedrus', 'author_id': 'A4554'}","0.999992847442627"
"Phaedrus","phaedrus","{'authorized_name': 'phaedrus', 'author_id': 'A4554'}","0.999992847442627"
"Phaedrus","phaedrus","{'authorized_name': 'phaedrus', 'author_id': 'A4554'}","0.999992847442627"
"Phaedrus","phaedrus","{'authorized_name': 'phaedrus', 'author_id': 'A4554'}","0.999992847442627"
"Phaedrus","phaedrus","{'authorized_name': 'phaedrus', 'author_id': 'A4554'}","0.999992847442627"
"Phaedrus","phaedrus","{'authorized_name': 'phaedrus', 'author_id': 'A4554'}","0.999992847442627"
"Phaedrus","phaedrus","{'authorized_name': 'phaedrus', 'author_id': 'A4554'}","0.999992847442627"
"Phaedrus","phaedrus","{'authorized_name': 'phaedrus', 'author_id': 'A4554'}","0.999992847442627"
"Phaedrus","phaedrus","{'authorized_name': 'phaedrus', 'author_id': 'A4554'}","0.999992847442627"
"Unknown","unknown","{'authorized_name': 'alan, of tewkesbury', 'author_id': 'A4551'}","0.11027003079652786"
"Rutilius Namatianus, Claudius, active 5th century","rutilius namatianus claudius active 5th century","{'authorized_name': 'namatianus, claudius rutilius, active 5th century', 'author_id': 'A4453'}","0.9999942779541016"
"Sallust, 86 B.C.-34 B.C.","sallust 86 bc34 bc","{'authorized_name': 'sallust', 'author_id': 'A5543'}","0.9992644190788269"
"Sallust, 86 B.C.-34 B.C.","sallust 86 bc34 bc","{'authorized_name': 'sallust', 'author_id': 'A5543'}","0.9992644190788269"
"Sallust, 86 B.C.-34 B.C.","sallust 86 bc34 bc","{'authorized_name': 'sallust', 'author_id': 'A5543'}","0.9992644190788269"
"Sallust, 86 B.C.-34 B.C.","sallust 86 bc34 bc","{'authorized_name': 'sallust', 'author_id': 'A5543'}","0.9992644190788269"
"Sallust, 86 B.C.-34 B.C.","sallust 86 bc34 bc","{'authorized_name': 'sallust', 'author_id': 'A5543'}","0.9992644190788269"
"Sallust, 86 B.C.-34 B.C.","sallust 86 bc34 bc","{'authorized_name': 'sallust', 'author_id': 'A5543'}","0.9992644190788269"
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.","seneca lucius annaeus approximately 4 bc65 ad","{'authorized_name': 'seneca, lucius annaeus, approximately 4 b.c.-65 a.d.', 'author_id': 'A4655'}","0.9999599456787109"
"Silius Italicus, Tiberius Catius","silius italicus tiberius catius","{'authorized_name': 'silius italicus, tiberius catius', 'author_id': 'A4804'}","0.9999938011169434"
"Statius, P. Papinius","statius p papinius","{'authorized_name': 'statius, p. papinius (publius papinius)', 'author_id': 'A4826'}","0.9999499320983887"
"Tacitus, Cornelius","tacitus cornelius","{'authorized_name': 'tacitus, cornelius', 'author_id': 'A4796'}","0.9999873638153076"
"Tacitus, Cornelius","tacitus cornelius","{'authorized_name': 'tacitus, cornelius', 'author_id': 'A4796'}","0.9999873638153076"
"Tibullus","tibullus","{'authorized_name': 'tibullus', 'author_id': 'A4791'}","0.9999589920043945"
"Tibullus","tibullus","{'authorized_name': 'tibullus', 'author_id': 'A4791'}","0.9999589920043945"
"Tibullus","tibullus","{'authorized_name': 'tibullus', 'author_id': 'A4791'}","0.9999589920043945"
"Tibullus","tibullus","{'authorized_name': 'tibullus', 'author_id': 'A4791'}","0.9999589920043945"
"Valerius Maximus","valerius maximus","{'authorized_name': 'valerius maximus', 'author_id': 'A4545'}","0.9992770552635193"
"Vegetius Renatus, Publius","vegetius renatus publius","{'authorized_name': 'vegetius renatus, flavius', 'author_id': 'A4794'}","0.9999895095825195"
"Velleius Paterculus, approximately 19 B.C.-approximately 30 A.D.","velleius paterculus approximately 19 bcapproximately 30 ad","{'authorized_name': 'velleius paterculus', 'author_id': 'A4542'}","0.999982476234436"
"Velleius Paterculus, approximately 19 B.C.-approximately 30 A.D.","velleius paterculus approximately 19 bcapproximately 30 ad","{'authorized_name': 'velleius paterculus', 'author_id': 'A4542'}","0.999982476234436"
"Velleius Paterculus, approximately 19 B.C.-approximately 30 A.D.","velleius paterculus approximately 19 bcapproximately 30 ad","{'authorized_name': 'velleius paterculus', 'author_id': 'A4542'}","0.999982476234436"
"Velleius Paterculus, ca. 19 B.C.-ca. 30 A.D.","velleius paterculus ca 19 bcca 30 ad","{'authorized_name': 'velleius paterculus', 'author_id': 'A4542'}","0.9999707937240601"
"Virgil","virgil","{'authorized_name': 'virgil', 'author_id': 'A4830'}","0.9998418092727661"
"Virgil","virgil","{'authorized_name': 'virgil', 'author_id': 'A4830'}","0.9998418092727661"
"Virgil","virgil","{'authorized_name': 'virgil', 'author_id': 'A4830'}","0.9998418092727661"
"Braunhard, Wilhelm, 1807-1866.","braunhard wilhelm 18071866","{'authorized_name': 'brinkmann, august, 1863-1923', 'author_id': 'A3255'}","0.6174432635307312"
"Fuss, J. D, 1782-1860.","fuss j d 17821860","{'authorized_name': 'fux, johann joseph, 1660-1741', 'author_id': 'A4119'}","0.9366053938865662"
