"author","deterministic_author","fuzzy_author","fuzzy_author_score","distilbert_author","distilbert_author_score"
"Palladius, Rutilius Taurus Aemilianus.","","{'authorized_name': 'palladius, rutilius taurus aemilianus', 'author_id': 'A4315'}","1.0","{'authorized_name': 'palladius, rutilius taurus aemilianus', 'author_id': 'A4315'}","0.99993896484375"
"Lucretius Carus, Titus.","{'authorized_name': 'lucretius carus, titus', 'author_id': 'A5001'}","{'authorized_name': 'lucretius carus, titus', 'author_id': 'A5001'}","1.0","{'authorized_name': 'lucretius carus, titus', 'author_id': 'A5001'}","0.9999898672103882"
"Huygens, Christiaan, 1629-1695.","{'authorized_name': 'huygens, christiaan, 1629-1695', 'author_id': 'A4138'}","{'authorized_name': 'huygens, christiaan, 1629-1695', 'author_id': 'A4138'}","1.0","{'authorized_name': 'huygens, christiaan, 1629-1695', 'author_id': 'A4138'}","0.9999881982803345"
"Suárez, Francisco, 1548-1617.","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","1.0","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.5979602336883545"
"Caesar, Julius.","","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","1.0","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","0.9999878406524658"
"Valerius Maximus.","","","0.0","{'authorized_name': 'valerius maximus', 'author_id': 'A4545'}","0.9991029500961304"
"Livy.","{'authorized_name': 'livy', 'author_id': 'A4979'}","{'authorized_name': 'livy', 'author_id': 'A4979'}","1.0","{'authorized_name': 'livy', 'author_id': 'A4979'}","0.9995575547218323"
"Silius Italicus, Tiberius Catius.","{'authorized_name': 'silius italicus, tiberius catius', 'author_id': 'A4804'}","{'authorized_name': 'silius italicus, tiberius catius', 'author_id': 'A4804'}","1.0","{'authorized_name': 'silius italicus, tiberius catius', 'author_id': 'A4804'}","0.9999933242797852"
"Victor, Sextus Aurelius.","{'authorized_name': 'victor, sextus aurelius', 'author_id': 'A4936'}","{'authorized_name': 'victor, sextus aurelius', 'author_id': 'A4936'}","1.0","{'authorized_name': 'victor, sextus aurelius', 'author_id': 'A4936'}","0.9998279809951782"
"Callaghan, John, 1605-1654,","","","0.0","{'authorized_name': 'lynch, john, approximately 1599-approximately 1673', 'author_id': 'A3906'}","0.4493189752101898"
"Juvenal.","{'authorized_name': 'juvenal', 'author_id': 'A5304'}","{'authorized_name': 'juvenal', 'author_id': 'A5304'}","1.0","{'authorized_name': 'juvenal', 'author_id': 'A5304'}","0.9998171925544739"
"Kircher, Athanasius, 1602-1680","{'authorized_name': 'kircher, athanasius, 1602-1680', 'author_id': 'A4106'}","{'authorized_name': 'kircher, athanasius, 1602-1680', 'author_id': 'A4106'}","1.0","{'authorized_name': 'kircher, athanasius, 1602-1680', 'author_id': 'A4106'}","0.9999908208847046"
"Claudianus, Claudius","{'authorized_name': 'claudianus, claudius', 'author_id': 'A4503'}","{'authorized_name': 'claudianus, claudius', 'author_id': 'A4503'}","1.0","{'authorized_name': 'claudianus, claudius', 'author_id': 'A4503'}","0.9998482465744019"
"Knabenbauer, Joseph, 1839-1911.","","","0.0","{'authorized_name': 'krahner, leopold, 1810-1884', 'author_id': 'A6102'}","0.19159741699695587"
"Suárez, Francisco, 1548-1617.","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","1.0","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.5979602336883545"
